descripcion,tipo
Montepíos,522451
Casas de bolsa,523110
Compañías de seguros,524110
Fondos de inversión,525210
Administración de cajas de pensión y de seguros independientes,524220
Sociedades financieras de objeto múltiple,522460
Centros cambiarios,523122
Fondos de aseguramiento campesino,524120
Casas de empeño,522452
Compañías afianzadoras,524130
Banca múltiple,522110
Otras instituciones de ahorro y préstamo,522390
Bolsa de valores,523210
Casas de cambio,523121
Asesoría en inversiones,523910
Uniones de crédito,522310
Compañías de autofinanciamiento,522440
Banca central,521110
Banca de desarrollo,522210
Fondos y fideicomisos financieros,522220
"Agentes, ajustadores y gestores de seguros y fianzas",524210
Otros servicios relacionados con la intermediación bursátil,523990
Servicios relacionados con la intermediación crediticia no bursátil,522510
Otras instituciones de intermediación crediticia y financiera no bursátil,522490
Cajas de ahorro popular,522320
Universidades,111111
Construcción,222222
Minas,333333
